PARTICLE DATA
-------------
DATA CARDS MUST START IMMEDIATELY AFTER $PRBEG CARD
READING STOPS WHEN CARD WITH ISA ID = 9999 IS FOUND
READING FORMAT: (2I8,2X,A8,F6.2,3F11.5,F14.5)
UNDEFINED MASSES OF HADRONS (I.E. LEFT BLANK) ARE SET EQUAL TO:
      SUM OF QUARK MASSES -.03 + .04*JSPIN
 
  ISA ID  PDG ID  LABEL   CHARGE       MASS      WIDTH      W-CUT   C*LIFET(MM)
 
$PRBEG
   -1440   -4422  AUCC.    -2.00    3.55000     .00000     .00000        .00000
    2440    4412  DCC.      1.00    3.55000     .00000     .00000        .00000
   -2440   -4412  ADCC.    -1.00    3.55000     .00000     .00000        .00000
    3440    4432  SCC.      1.00    3.70000     .00000     .00000        .00000
   -3440   -4432  ASCC.    -1.00    3.70000     .00000     .00000        .00000
    1150    5222  UUB.      1.00    5.80000     .00000     .00000        .00000
   -1150   -5222  AUUB.    -1.00    5.80000     .00000     .00000        .00000
    1250    5212  UDB.       .00    5.80000     .00000     .00000        .00000
   -1250   -5212  AUDB.      .00    5.80000     .00000     .00000        .00000
    2150    5122  DUB.       .00    5.62000     .00000     .00000        .39300
   -2150   -5122  ADUB.      .00    5.62000     .00000     .00000        .39300
    2250    5112  DDB.     -1.00    5.80000     .00000     .00000        .00000
   -2250   -5112  ADDB.     1.00    5.80000     .00000     .00000        .00000
    1350    5322  USB.       .00    5.96000     .00000     .00000        .00000
   -1350   -5322  AUSB.      .00    5.96000     .00000     .00000        .00000
    3150    5232  SUB.       .00    5.84000     .00000     .00000        .39300
   -3150   -5232  ASUB.      .00    5.84000     .00000     .00000        .39300
    2350    5312  DSB.     -1.00    5.96000     .00000     .00000        .00000
   -2350   -5312  ADSB.     1.00    5.96000     .00000     .00000        .00000
    3250    5132  SDB.     -1.00    5.84000     .00000     .00000        .39300
   -3250   -5132  ASDB.     1.00    5.84000     .00000     .00000        .39300
    3350    5332  SSB.     -1.00    6.12000     .00000     .00000        .39300
   -3350   -5332  ASSB.     1.00    6.12000     .00000     .00000        .39300
    1450    5422  UCB.      1.00    6.77000     .00000     .00000        .00000
   -1450   -5422  AUCB.    -1.00    6.77000     .00000     .00000        .00000
    4150    5242  CUB.      1.00    6.77000     .00000     .00000        .00000
   -4150   -5242  ACUB.    -1.00    6.77000     .00000     .00000        .00000
    2450    5412  DCB.       .00    6.77000     .00000     .00000        .00000
   -2450   -5412  ADCB.      .00    6.77000     .00000     .00000        .00000
    4250    5142  CDB.       .00    6.77000     .00000     .00000        .00000
   -4250   -5142  ACDB.      .00    6.77000     .00000     .00000        .00000
    3450    5432  SCB.       .00    6.97000     .00000     .00000        .00000
